amb_municipio,municipio,colectividad,codpar,nombre_partido,votos_ca_partido,votos_ca_candidatos,votos_se,ratio_arrastre
0700256,SANTA SOFIA,ALMA-OXIGENO,137,ALMA - OXÍGENO,9,8,0.0,0.0
0700259,SATIVANORTE,ALMA-OXIGENO,137,ALMA - OXÍGENO,9,9,0.0,0.0
0700265,SIACHOQUE,ALMA-OXIGENO,137,ALMA - OXÍGENO,23,19,0.0,0.0
0700268,SOATA,ALMA-OXIGENO,137,ALMA - OXÍGENO,25,23,0.0,0.0
0700271,SOCOTA,ALMA-OXIGENO,137,ALMA - OXÍGENO,24,17,0.0,0.0
0700274,SOCHA,ALMA-OXIGENO,137,ALMA - OXÍGENO,34,22,0.0,0.0
0700277,SOGAMOSO,ALMA-OXIGENO,137,ALMA - OXÍGENO,531,440,0.0,0.0
0700280,SOMONDOCO,ALMA-OXIGENO,137,ALMA - OXÍGENO,9,7,0.0,0.0
0700281,SORA,ALMA-OXIGENO,137,ALMA - OXÍGENO,14,11,0.0,0.0
0700282,SORACA,ALMA-OXIGENO,137,ALMA - OXÍGENO,24,21,0.0,0.0
0700283,SOTAQUIRA,ALMA-OXIGENO,137,ALMA - OXÍGENO,35,29,0.0,0.0
0700286,SUSACON,ALMA-OXIGENO,137,ALMA - OXÍGENO,6,5,0.0,0.0
0700289,SUTAMARCHAN,ALMA-OXIGENO,137,ALMA - OXÍGENO,10,8,0.0,0.0
0700292,SUTATENZA,ALMA-OXIGENO,137,ALMA - OXÍGENO,13,13,0.0,0.0
0700298,TASCO,ALMA-OXIGENO,137,ALMA - OXÍGENO,19,14,0.0,0.0
0700301,TENZA,ALMA-OXIGENO,137,ALMA - OXÍGENO,8,7,0.0,0.0
0700304,TIBANA,ALMA-OXIGENO,137,ALMA - OXÍGENO,24,21,0.0,0.0
0700307,TIBASOSA,ALMA-OXIGENO,137,ALMA - OXÍGENO,45,39,0.0,0.0
0700310,TINJACA,ALMA-OXIGENO,137,ALMA - OXÍGENO,9,8,0.0,0.0
0700311,TIPACOQUE,ALMA-OXIGENO,137,ALMA - OXÍGENO,17,12,0.0,0.0
0700313,TOCA,ALMA-OXIGENO,137,ALMA - OXÍGENO,20,17,0.0,0.0
0700316,TOGUI,ALMA-OXIGENO,137,ALMA - OXÍGENO,14,11,0.0,0.0
0700319,TOPAGA,ALMA-OXIGENO,137,ALMA - OXÍGENO,18,13,0.0,0.0
0700322,TOTA,ALMA-OXIGENO,137,ALMA - OXÍGENO,29,22,0.0,0.0
0700324,TUNUNGUA,ALMA-OXIGENO,137,ALMA - OXÍGENO,8,7,0.0,0.0
0700325,TURMEQUE,ALMA-OXIGENO,137,ALMA - OXÍGENO,14,11,0.0,0.0
0700328,TUTA,ALMA-OXIGENO,137,ALMA - OXÍGENO,20,17,0.0,0.0
